t,x,y,z,roll,pitch,yaw
26.00000,10.44000,0.00871,0.29862,-0.00818,0.00903,-0.00000
26.10000,10.48000,0.01119,0.29650,-0.00916,0.00864,0.00000
26.20000,10.52000,0.01344,0.29439,-0.00996,0.00807,0.00000
26.30000,10.56000,0.01544,0.29232,-0.01057,0.00735,0.00000
26.40000,10.60000,0.01717,0.29033,-0.01099,0.00654,-0.00000
26.50000,10.64000,0.01864,0.28847,-0.01124,0.00569,0.00000
26.60000,10.68000,0.01984,0.28676,-0.01133,0.00486,0.00000
26.70000,10.72000,0.02075,0.28523,-0.01126,0.00407,0.00000
26.80000,10.76000,0.02140,0.28391,-0.01106,0.00336,0.00000
26.90000,10.80000,0.02177,0.28283,-0.01075,0.00272,0.00000
27.00000,10.84000,0.02188,0.28201,-0.01034,0.00217,0.00000
27.10000,10.88000,0.02174,0.28145,-0.00984,0.00167,0.00000
27.20000,10.92000,0.02136,0.28116,-0.00927,0.00120,0.00000
27.30000,10.96000,0.02075,0.28116,-0.00864,0.00071,0.00000
27.40000,11.00000,0.01992,0.28145,-0.00797,0.00015,0.00000
27.50000,11.04000,0.01888,0.28201,-0.00726,-0.00053,0.00000
27.60000,11.08000,0.01766,0.28284,-0.00652,-0.00136,0.00000
27.70000,11.12000,0.01627,0.28393,-0.00577,-0.00239,0.00000
27.80000,11.16000,0.01472,0.28526,-0.00500,-0.00364,0.00000
27.90000,11.20000,0.01303,0.28681,-0.00423,-0.00512,0.00000
28.00000,11.24000,0.01123,0.28856,-0.00347,-0.00682,0.00000
28.10000,11.28000,0.00932,0.29048,-0.00274,-0.00869,0.00000
28.20000,11.32000,0.00734,0.29255,-0.00203,-0.01070,0.00000
28.30000,11.36000,0.00530,0.29472,-0.00136,-0.01276,0.00000
28.40000,11.40000,0.00322,0.29698,-0.00074,-0.01479,0.00000
28.50000,11.44000,0.00113,0.29928,-0.00019,-0.01670,0.00000
28.60000,11.48000,-0.00095,0.30161,0.00030,-0.01837,-0.00000
28.70000,11.52000,-0.00300,0.30391,0.00071,-0.01970,0.00000
28.80000,11.56000,-0.00499,0.30616,0.00105,-0.02059,-0.00000
28.90000,11.60000,-0.00690,0.30833,0.00131,-0.02096,0.00000
29.00000,11.64000,-0.00870,0.31039,0.00150,-0.02074,-0.00000
29.10000,11.68000,-0.01037,0.31230,0.00163,-0.01988,0.00000
29.20000,11.72000,-0.01189,0.31405,0.00170,-0.01837,0.00000
29.30000,11.76000,-0.01324,0.31559,0.00173,-0.01620,0.00000
29.40000,11.80000,-0.01439,0.31693,0.00173,-0.01341,0.00000
29.50000,11.84000,-0.01534,0.31802,0.00171,-0.01008,0.00000
29.60000,11.88000,-0.01606,0.31886,0.00168,-0.00630,-0.00000
29.70000,11.92000,-0.01656,0.31943,0.00165,-0.00217,0.00000
29.80000,11.96000,-0.01683,0.31973,0.00162,0.00218,-0.00000
29.90000,12.00000,-0.01685,0.31975,0.00161,0.00659,0.00000
30.00000,12.04000,-0.01665,0.31948,0.00161,0.01094,0.00000
30.10000,12.08000,-0.01622,0.31894,0.00162,0.01506,0.00000
30.20000,12.12000,-0.01557,0.31812,0.00163,0.01884,-0.00000
30.30000,12.16000,-0.01472,0.31705,0.00164,0.02213,0.00000
30.40000,12.20000,-0.01368,0.31573,0.00165,0.02485,0.00000
30.50000,12.24000,-0.01248,0.31418,0.00164,0.02691,0.00000
30.60000,12.28000,-0.01114,0.31244,0.00162,0.02826,0.00000
30.70000,12.32000,-0.00969,0.31053,0.00159,0.02887,0.00000
30.80000,12.36000,-0.00814,0.30848,0.00155,0.02875,-0.00000
30.90000,12.40000,-0.00654,0.30632,0.00152,0.02792,0.00000
31.00000,12.44000,-0.00491,0.30410,0.00149,0.02642,0.00000
31.10000,12.48000,-0.00327,0.30184,0.00148,0.02435,0.00000
31.20000,12.52000,-0.00165,0.29958,0.00153,0.02177,0.00000
31.30000,12.56000,-0.00008,0.29737,0.00163,0.01879,0.00000
31.40000,12.60000,0.00142,0.29524,0.00181,0.01552,0.00000
31.50000,12.64000,0.00282,0.29321,0.00209,0.01206,-0.00000
31.60000,12.68000,0.00412,0.29133,0.00247,0.00852,0.00000
31.70000,12.72000,0.00530,0.28962,0.00296,0.00499,0.00000
31.80000,12.76000,0.00633,0.28811,0.00356,0.00156,0.00000
31.90000,12.80000,0.00722,0.28681,0.00426,-0.00169,0.00000
32.00000,12.84000,0.00796,0.28575,0.00503,-0.00470,-0.00000
32.10000,12.88000,0.00854,0.28493,0.00585,-0.00742,0.00000
32.20000,12.92000,0.00897,0.28435,0.00669,-0.00983,0.00000
